datID sessionID block trial WordInt ColorInt Int1 Int2 Int3 Int4 Response rt
1 88 0 0 2 1 1 0 3 2 0 0.383
2 88 0 1 1 2 2 1 3 0 3 0.383
3 88 0 2 3 0 0 3 1 2 0 0.272
4 88 0 3 1 2 1 0 3 2 3 0.612
5 88 0 4 2 2 1 0 3 2 3 0.252
6 88 0 5 1 3 2 0 1 3 3 0.369
7 88 0 6 3 3 1 3 2 0 0 0.594
8 88 0 7 1 1 0 3 2 1 3 0.587
9 88 0 8 0 1 3 0 1 2 0 0.388
10 88 0 9 2 3 0 3 2 1 3 0.629
11 88 0 10 0 0 2 1 0 3 1 1.28
12 88 0 11 0 1 2 3 0 1 3 0.34
13 88 0 12 1 1 3 2 0 1 2 0.694
14 88 0 13 3 0 2 1 0 3 3 0.78
15 88 0 14 1 1 1 3 2 0 3 0.386
16 88 0 15 2 3 3 0 1 2 3 3.666
17 88 0 16 0 2 0 2 3 1 2 1.921
18 88 0 17 0 3 2 0 1 3 3 0.51
19 88 0 18 3 3 3 0 2 1 1 0.618
20 88 0 19 2 3 2 3 1 0 3 2.083
21 88 0 20 1 3 0 3 2 1 2 2.202
22 88 0 21 2 2 1 2 0 3 2 2.685
23 88 0 22 0 2 0 3 2 1 1 1.983
24 88 0 23 3 1 2 3 1 0 3 0.234
25 88 0 24 2 1 0 1 3 2 1 0.304
26 88 0 25 2 0 3 2 0 1 1 1.395
27 88 0 26 0 3 3 0 1 2 2 0.707
28 88 0 27 1 3 2 0 1 3 0 1.336
29 88 0 28 1 2 3 1 2 0 2 1.721
30 88 0 29 2 3 1 0 3 2 3 2.586
31 88 0 30 0 3 0 2 3 1 1 0.415
32 88 0 31 2 0 2 1 3 0 1 1.519
33 88 0 32 1 2 3 2 1 0 2 0.762
34 88 0 33 3 2 1 3 0 2 2 1.489
35 88 0 34 2 1 0 3 2 1 3 0.621
36 88 0 35 1 0 0 3 1 2 1 1.141
37 88 0 36 0 2 0 3 2 1 2 3.49
38 88 0 37 3 2 1 3 2 0 2 0.275
39 88 0 38 0 2 0 1 3 2 3 0.359
40 88 0 39 0 3 0 3 1 2 2 0.217
41 88 0 40 0 2 0 3 2 1 2 0.416
42 88 0 41 1 2 0 3 2 1 2 1.567
43 88 0 42 2 0 0 1 3 2 3 2.117
44 88 0 43 0 3 2 0 1 3 2 1.291
45 88 0 44 0 1 0 1 2 3 1 0.399
46 88 0 45 2 3 2 0 3 1 3 1.055
47 88 0 46 3 0 2 1 3 0 2 0.475
48 88 0 47 0 2 1 3 0 2 3 0.776
49 88 0 48 3 1 3 2 0 1 2 0.463
50 88 0 49 2 0 1 3 0 2 1 1.213
51 88 0 50 2 0 0 1 3 2 0 0.463
52 88 0 51 0 0 0 1 3 2 0 0.365
53 88 0 52 3 3 0 3 1 2 2 0.511
54 88 0 53 0 2 0 2 1 3 1 0.778
55 88 0 54 2 0 2 3 1 0 2 0.924
56 88 0 55 2 2 3 0 1 2 1 0.601
57 88 0 56 0 0 2 3 1 0 2 1.665
58 88 0 57 2 1 1 2 0 3 2 0.323
59 88 0 58 3 0 1 3 2 0 0 1.318
60 88 0 59 1 0 1 0 2 3 2 1.192
61 88 0 60 2 1 0 3 2 1 0 2.943
62 88 0 61 1 0 3 0 1 2 0 1.239
63 88 0 62 0 2 0 2 3 1 3 0.524
64 88 0 63 2 2 1 3 2 0 2 0.424
65 88 1 64 0 3 2 3 0 1 3 0.796
66 88 1 65 0 1 0 3 2 1 3 1.057
67 88 1 66 0 1 0 1 3 2 2 0.474
68 88 1 67 1 3 3 1 2 0 0 0.443
69 88 1 68 2 0 1 2 3 0 1 0.617
70 88 1 69 2 1 2 0 1 3 1 0.736
71 88 1 70 1 3 0 1 3 2 2 0.376
72 88 1 71 0 1 3 2 1 0 2 0.232
73 88 1 72 0 2 3 0 2 1 2 1.311
74 88 1 73 0 2 1 0 2 3 2 0.334
75 88 1 74 2 3 3 0 2 1 1 0.448
76 88 1 75 0 0 2 1 3 0 0 2.415
77 88 1 76 0 2 2 0 1 3 2 1.258
78 88 1 77 0 0 1 3 2 0 1 0.463
79 88 1 78 3 0 1 2 3 0 0 0.973
80 88 1 79 2 3 2 3 0 1 3 2.86
81 88 1 80 1 2 3 2 1 0 2 2.407
82 88 1 81 3 0 2 1 0 3 2 0.979
83 88 1 82 1 1 1 3 0 2 3 0.255
84 88 1 83 2 3 1 0 3 2 3 3.62
85 88 1 84 3 3 3 1 2 0 0 0.34
86 88 1 85 3 0 2 0 3 1 2 0.39
87 88 1 86 0 1 2 1 3 0 1 0.726
88 88 1 87 3 2 0 3 1 2 1 0.315
89 88 1 88 1 0 1 3 2 0 1 0.734
90 88 1 89 1 2 0 2 1 3 1 0.258
91 88 1 90 0 1 3 1 0 2 3 2.167
92 88 1 91 1 2 1 3 0 2 0 0.731
93 88 1 92 1 3 0 1 3 2 2 0.336
94 88 1 93 3 0 1 2 3 0 2 0.834
95 88 1 94 3 2 1 0 2 3 3 1.189
96 88 1 95 0 2 2 0 1 3 1 0.461
97 88 1 96 2 2 0 3 1 2 1 0.235
98 88 1 97 1 1 0 3 1 2 3 0.208
99 88 1 98 1 1 3 2 1 0 2 0.423
100 88 1 99 2 3 2 1 0 3 1 2.374
101 88 1 100 1 2 1 0 2 3 3 1.492
102 88 1 101 0 1 0 1 3 2 1 0.352
103 88 1 102 1 2 3 0 2 1 2 0.321
104 88 1 103 3 2 0 3 1 2 2 2.852
105 88 1 104 2 1 3 2 0 1 0 1.072
106 88 1 105 1 0 0 3 2 1 0 0.331
107 88 1 106 3 1 0 1 2 3 1 0.654
108 88 1 107 2 0 3 0 1 2 1 0.901
109 88 1 108 3 3 2 0 1 3 3 0.278
110 88 1 109 2 3 3 1 2 0 3 3.451
111 88 1 110 3 2 2 1 0 3 0 0.353
112 88 1 111 2 1 1 3 2 0 3 0.339
113 88 1 112 3 3 0 3 1 2 2 0.357
114 88 1 113 1 3 3 2 1 0 2 1.526
115 88 1 114 0 0 0 1 3 2 0 0.61
116 88 1 115 1 3 2 0 1 3 3 0.218
117 88 1 116 3 1 0 1 2 3 3 1.473
118 88 1 117 1 2 2 1 3 0 3 0.238
119 88 1 118 0 1 1 2 0 3 2 0.196
