datID sessionID block trial flanker target resp rt
1 406 0 0 5 1 1 0.59
2 406 0 1 0 1 0 0.481
3 406 0 2 2 1 0 0.66
4 406 0 3 5 1 1 0.449
5 406 0 4 1 1 0 0.469
6 406 0 5 3 0 1 0.558
7 406 0 6 5 1 1 0.455
8 406 0 7 0 0 0 0.425
9 406 0 8 3 0 1 0.49
10 406 0 9 5 1 1 0.437
11 406 0 10 2 0 0 0.676
12 406 0 11 5 0 1 0.461
13 406 0 12 5 0 1 0.473
14 406 0 13 5 1 1 0.385
15 406 0 14 5 1 1 0.357
16 406 0 15 3 0 1 0.634
17 406 0 16 2 0 0 0.591
18 406 0 17 1 1 0 0.44
19 406 0 18 5 1 1 0.443
20 406 0 19 5 1 1 0.459
21 406 0 20 0 1 0 0.51
22 406 0 21 2 0 0 0.838
23 406 0 22 2 0 0 0.51
24 406 0 23 5 1 1 0.395
25 406 0 24 0 0 0 0.434
26 406 0 25 0 0 0 0.429
27 406 0 26 0 0 0 0.478
28 406 0 27 5 0 1 0.513
29 406 0 28 4 1 1 0.535
30 406 0 29 2 1 0 0.544
31 406 0 30 5 0 1 0.41
32 406 0 31 4 0 1 0.487
33 406 0 32 2 0 1 0.508
34 406 0 33 2 1 0 0.6
35 406 0 34 5 0 1 0.426
36 406 0 35 5 1 1 0.39
37 406 0 36 5 1 1 0.358
38 406 0 37 2 1 0 0.434
39 406 0 38 5 0 1 0.475
40 406 0 39 3 1 1 0.694
41 406 1 0 4 0 1 0.522
42 406 1 1 5 0 1 0.545
43 406 1 2 1 1 0 0.38
44 406 1 3 0 0 0 0.434
45 406 1 4 1 0 0 0.566
46 406 1 5 5 1 1 0.484
47 406 1 6 1 1 0 0.478
48 406 1 7 5 1 1 0.403
49 406 1 8 0 1 0 0.555
50 406 1 9 2 0 1 0.546
51 406 1 10 4 0 1 0.566
52 406 1 11 2 1 0 0.467
53 406 1 12 4 1 1 0.83
54 406 1 13 4 1 1 0.563
55 406 1 14 0 1 0 0.476
56 406 1 15 1 1 0 0.471
57 406 1 16 0 1 0 0.602
58 406 1 17 1 1 0 0.561
59 406 1 18 5 0 1 0.52
60 406 1 19 0 1 1 0.852
61 406 1 20 1 0 0 0.673
62 406 1 21 5 0 1 0.56
63 406 1 22 2 1 0 0.634
64 406 1 23 1 1 0 0.548
65 406 1 24 2 1 0 0.399
66 406 1 25 5 1 1 0.517
67 406 1 26 4 0 1 0.721
68 406 1 27 0 1 0 0.438
69 406 1 28 4 0 1 0.625
70 406 1 29 4 0 1 0.696
71 406 1 30 1 1 0 0.558
72 406 1 31 1 0 0 0.482
73 406 1 32 2 0 0 0.597
74 406 1 33 1 0 0 0.578
75 406 1 34 0 0 0 0.482
76 406 1 35 4 1 1 0.653
77 406 1 36 3 1 1 0.839
78 406 1 37 0 0 0 0.647
79 406 1 38 0 1 0 0.461
80 406 1 39 0 1 0 0.405
81 406 2 0 1 0 0 0.55
82 406 2 1 3 1 1 0.631
83 406 2 2 2 1 0 0.743
84 406 2 3 0 1 0 0.523
85 406 2 4 5 1 1 0.561
86 406 2 5 0 1 0 0.484
87 406 2 6 3 1 1 0.744
88 406 2 7 0 1 0 0.484
89 406 2 8 1 0 0 0.636
90 406 2 9 4 1 1 0.644
91 406 2 10 1 0 0 0.619
92 406 2 11 5 1 1 0.472
93 406 2 12 5 1 1 0.505
94 406 2 13 0 0 0 0.303
95 406 2 14 3 0 1 0.504
96 406 2 15 5 1 1 0.502
97 406 2 16 3 1 1 0.861
98 406 2 17 5 0 1 0.507
99 406 2 18 5 0 1 0.413
100 406 2 19 1 0 0 0.427
101 406 2 20 4 1 1 0.631
102 406 2 21 0 0 0 0.388
103 406 2 22 0 0 0 0.528
104 406 2 23 3 0 1 0.441
105 406 2 24 4 0 1 0.448
106 406 2 25 2 0 1 0.431
107 406 2 26 3 0 1 0.43
108 406 2 27 3 1 0 0.528
109 406 2 28 0 1 0 0.407
110 406 2 29 2 1 0 0.471
111 406 2 30 5 1 1 0.49
112 406 2 31 1 1 0 0.433
113 406 2 32 0 0 0 0.365
114 406 2 33 4 1 1 0.454
115 406 2 34 0 0 0 0.448
116 406 2 35 0 1 0 0.461
117 406 2 36 4 1 1 0.424
118 406 2 37 2 0 1 0.609
119 406 2 38 2 0 0 0.69
120 406 2 39 0 0 0 0.372
121 406 3 0 5 0 1 0.448
122 406 3 1 4 0 1 0.501
123 406 3 2 1 0 0 0.46
124 406 3 3 5 1 1 0.477
125 406 3 4 0 1 0 0.394
126 406 3 5 1 1 0 0.382
127 406 3 6 3 1 1 0.544
128 406 3 7 4 0 1 0.478
129 406 3 8 5 0 1 0.383
130 406 3 9 0 1 0 0.501
131 406 3 10 2 1 0 0.444
132 406 3 11 5 0 1 0.466
133 406 3 12 0 0 0 0.36
134 406 3 13 3 1 1 0.755
135 406 3 14 5 0 0 0.294
136 406 3 15 5 0 1 0.553
137 406 3 16 0 1 0 0.444
138 406 3 17 4 1 1 0.568
139 406 3 18 0 1 0 0.451
140 406 3 19 1 0 0 0.745
141 406 3 20 3 0 1 0.433
142 406 3 21 4 0 1 0.5
143 406 3 22 5 0 1 0.502
144 406 3 23 3 1 0 0.459
145 406 3 24 3 0 0 0.615
146 406 3 25 0 0 0 0.407
147 406 3 26 3 1 1 0.737
148 406 3 27 4 1 1 0.499
149 406 3 28 5 0 1 0.452
150 406 3 29 5 0 1 0.442
151 406 3 30 0 0 0 0.426
152 406 3 31 3 0 0 0.412
153 406 3 32 0 0 0 0.47
154 406 3 33 0 1 0 0.549
155 406 3 34 0 0 0 0.512
156 406 3 35 3 0 1 0.524
157 406 3 36 0 1 0 0.464
158 406 3 37 0 0 0 0.414
159 406 3 38 0 0 0 0.415
160 406 3 39 5 0 1 0.389
161 407 0 0 0 1 1 1.347
162 407 0 1 5 0 0 0.851
163 407 0 2 3 1 1 0.902
164 407 0 3 5 1 1 2.163
165 407 0 4 4 1 1 0.591
166 407 0 5 1 1 0 0.761
167 407 0 6 5 1 1 0.556
168 407 0 7 2 0 0 0.727
169 407 0 8 5 1 1 0.619
170 407 0 9 5 0 1 0.692
171 407 0 10 3 1 0 1.162
172 407 0 11 4 1 1 0.817
173 407 0 12 1 0 1 0.77
174 407 0 13 1 0 1 2.393
175 407 0 14 3 0 1 1.518
176 407 0 15 2 0 1 1.81
177 407 0 16 0 1 1 0.719
178 407 0 17 3 1 0 2.424
179 407 0 18 5 1 1 0.781
180 407 0 19 5 1 1 0.671
181 407 0 20 1 1 0 0.614
182 407 0 21 4 0 1 1.406
183 407 0 22 0 0 0 0.632
184 407 0 23 1 1 0 0.832
185 407 0 24 5 0 1 1.152
186 407 0 25 0 1 0 0.483
187 407 0 26 0 0 0 0.576
188 407 0 27 5 0 1 0.539
189 407 0 28 5 1 1 0.486
190 407 0 29 5 1 1 0.405
191 407 0 30 5 0 1 0.678
192 407 0 31 5 0 1 0.38
193 407 0 32 0 0 0 0.719
194 407 0 33 2 1 0 0.691
195 407 0 34 5 0 1 0.744
196 407 0 35 0 0 0 0.556
197 407 0 36 0 1 0 0.392
198 407 0 37 0 1 0 0.33
199 407 0 38 5 0 1 0.51
200 407 0 39 0 1 0 0.46
201 407 1 0 4 0 1 0.77
202 407 1 1 0 1 0 0.436
203 407 1 2 4 1 1 0.772
204 407 1 3 5 1 1 0.567
205 407 1 4 5 0 1 0.498
206 407 1 5 2 0 0 0.816
207 407 1 6 4 1 1 1.552
208 407 1 7 5 0 1 0.659
209 407 1 8 2 1 0 0.666
210 407 1 9 0 0 0 1.425
211 407 1 10 3 0 1 2.281
212 407 1 11 0 0 0 0.736
213 407 1 12 0 0 0 0.435
214 407 1 13 0 0 0 0.418
215 407 1 14 3 1 1 0.803
216 407 1 15 3 1 0 0.66
217 407 1 16 5 1 1 2.448
218 407 1 17 2 1 0 1.248
219 407 1 18 4 0 1 1.104
220 407 1 19 4 0 1 1.477
221 407 1 20 1 1 0 0.604
222 407 1 21 4 1 1 0.629
223 407 1 22 3 0 1 0.846
224 407 1 23 0 0 0 0.638
225 407 1 24 2 0 0 0.774
226 407 1 25 1 0 0 0.663
227 407 1 26 0 0 0 0.574
228 407 1 27 5 0 1 0.585
229 407 1 28 1 1 0 0.499
230 407 1 29 5 0 1 0.608
231 407 1 30 5 0 1 0.458
232 407 1 31 0 1 0 0.68
233 407 1 32 0 0 0 0.494
234 407 1 33 0 1 0 0.892
235 407 1 34 5 0 1 0.583
236 407 1 35 3 0 1 0.946
237 407 1 36 0 0 0 0.462
238 407 1 37 1 0 0 0.746
239 407 1 38 1 1 0 0.637
240 407 1 39 4 0 1 0.579
241 407 2 0 5 0 1 0.678
242 407 2 1 0 1 0 0.461
243 407 2 2 5 1 1 0.668
244 407 2 3 1 0 0 0.643
245 407 2 4 3 0 1 0.683
246 407 2 5 3 0 1 0.945
247 407 2 6 2 1 0 0.589
248 407 2 7 3 1 0 0.871
249 407 2 8 2 1 0 0.681
250 407 2 9 0 1 0 0.752
251 407 2 10 0 0 0 0.611
252 407 2 11 0 0 0 0.439
253 407 2 12 5 1 1 0.531
254 407 2 13 1 0 0 0.56
255 407 2 14 4 1 1 2.251
256 407 2 15 2 1 0 0.675
257 407 2 16 3 1 0 1.287
258 407 2 17 2 0 0 0.665
259 407 2 18 5 1 1 0.557
260 407 2 19 3 0 1 0.696
261 407 2 20 4 0 1 0.606
262 407 2 21 0 1 0 0.471
263 407 2 22 5 1 1 0.63
264 407 2 23 3 1 0 1.711
265 407 2 24 5 0 1 0.591
266 407 2 25 0 0 0 0.553
267 407 2 26 2 0 0 0.803
268 407 2 27 4 0 1 0.577
269 407 2 28 0 1 0 0.524
270 407 2 29 2 0 0 0.76
271 407 2 30 2 1 0 0.571
272 407 2 31 1 0 0 0.63
273 407 2 32 2 0 1 0.606
274 407 2 33 4 1 1 0.748
275 407 2 34 1 1 0 0.655
276 407 2 35 3 0 1 0.727
277 407 2 36 3 1 0 0.907
278 407 2 37 4 1 1 0.684
279 407 2 38 4 0 1 0.69
280 407 2 39 4 1 1 0.728
281 407 3 0 0 1 0 0.615
282 407 3 1 3 0 1 0.688
283 407 3 2 1 0 0 0.661
284 407 3 3 5 1 1 0.651
285 407 3 4 0 0 0 0.627
286 407 3 5 2 1 0 0.792
287 407 3 6 4 0 1 0.859
288 407 3 7 1 0 0 0.858
289 407 3 8 5 1 1 0.665
290 407 3 9 5 0 1 0.576
291 407 3 10 5 1 1 0.602
292 407 3 11 4 1 1 0.9
293 407 3 12 3 0 1 1.376
294 407 3 13 0 1 0 0.491
295 407 3 14 2 1 0 0.792
296 407 3 15 1 0 0 0.585
297 407 3 16 1 1 0 0.452
298 407 3 17 0 0 0 0.691
299 407 3 18 1 1 0 0.68
300 407 3 19 0 0 0 0.559
301 407 3 20 2 0 1 0.65
302 407 3 21 3 1 1 0.789
303 407 3 22 5 1 1 0.548
304 407 3 23 2 1 0 0.72
305 407 3 24 5 0 1 0.453
306 407 3 25 5 1 1 0.466
307 407 3 26 5 1 1 0.448
308 407 3 27 1 1 0 0.656
309 407 3 28 2 0 0 1.014
310 407 3 29 5 1 1 0.496
311 407 3 30 0 1 0 0.526
312 407 3 31 0 0 0 0.522
313 407 3 32 0 0 0 0.615
314 407 3 33 5 0 1 0.528
315 407 3 34 5 0 1 0.395
316 407 3 35 0 1 0 0.525
317 407 3 36 4 0 1 0.602
318 407 3 37 0 1 0 0.499
319 407 3 38 0 1 0 0.368
320 407 3 39 0 1 0 0.307
321 409 0 0 0 0 0 0.946
322 409 0 1 0 1 1 1.998
323 409 0 2 0 1 1 0.532
324 409 0 3 3 0 0 1.028
325 409 0 4 3 0 0 3.313
326 409 0 5 0 1 1 0.642
327 409 0 6 3 0 0 5.934
328 409 0 7 0 1 0 1.173
329 409 0 8 1 1 0 1.176
330 409 0 9 5 0 1 1.019
331 409 0 10 1 0 0 0.979
332 409 0 11 5 1 1 2.254
333 409 0 12 2 1 0 1.029
334 409 0 13 0 1 0 0.702
335 409 0 14 1 0 0 1.123
336 409 0 15 0 1 0 0.648
337 409 0 16 0 0 0 0.492
338 409 0 17 1 1 0 0.923
339 409 0 18 1 1 0 0.839
340 409 0 19 2 0 1 0.886
341 409 0 20 5 1 1 0.664
342 409 0 21 5 1 1 0.48
343 409 0 22 2 1 0 1.004
344 409 0 23 2 1 0 0.71
345 409 0 24 3 1 1 0.939
346 409 0 25 0 0 0 0.598
347 409 0 26 5 0 1 0.608
348 409 0 27 4 0 1 0.809
349 409 0 28 2 0 0 0.762
350 409 0 29 1 0 0 0.619
351 409 0 30 5 1 1 0.596
352 409 0 31 0 1 0 0.532
353 409 0 32 4 0 1 0.72
354 409 0 33 2 0 0 0.676
355 409 0 34 5 0 1 1.099
356 409 0 35 5 0 1 0.465
357 409 0 36 3 0 1 0.832
358 409 0 37 5 0 1 0.431
359 409 0 38 2 1 0 0.704
360 409 0 39 1 1 0 0.517
361 409 1 0 4 1 1 0.804
362 409 1 1 3 0 1 1.173
363 409 1 2 4 1 1 0.568
364 409 1 3 5 0 1 0.61
365 409 1 4 0 1 0 0.539
366 409 1 5 3 0 0 1.047
367 409 1 6 2 0 0 0.464
368 409 1 7 3 1 1 0.543
369 409 1 8 0 1 0 0.492
370 409 1 9 5 1 1 0.697
371 409 1 10 5 0 1 0.462
372 409 1 11 5 0 1 0.398
373 409 1 12 0 0 0 0.592
374 409 1 13 2 0 0 0.921
375 409 1 14 0 0 0 0.486
376 409 1 15 4 0 1 0.708
377 409 1 16 5 1 1 0.424
378 409 1 17 0 1 0 0.809
379 409 1 18 0 1 0 0.426
380 409 1 19 5 1 1 0.667
381 409 1 20 3 1 0 0.978
382 409 1 21 5 1 1 0.8
383 409 1 22 0 1 0 0.529
384 409 1 23 3 1 0 1.022
385 409 1 24 5 0 1 1.146
386 409 1 25 0 1 0 0.718
387 409 1 26 4 1 1 0.691
388 409 1 27 4 0 1 0.617
389 409 1 28 2 0 0 0.818
390 409 1 29 4 0 1 0.61
391 409 1 30 0 1 0 1.019
392 409 1 31 0 0 0 0.448
393 409 1 32 0 1 0 0.496
394 409 1 33 1 0 0 0.734
