datID sessionID block trial length correctResp resp rt
1 445 0 0 99.999 5 4 2.181
2 445 0 1 99.999 4 5 1.082
3 445 0 2 99.999 6 7 2.67
4 445 0 3 99.999 1 1 1.756
5 445 0 4 99.999 6 6 2.846
6 445 0 5 99.999 2 2 1.357
7 445 0 6 99.999 1 1 0.814
8 445 0 7 99.999 1 1 0.927
9 445 0 8 99.999 7 7 1.437
10 445 0 9 99.999 3 3 1.438
11 445 0 10 99.999 2 2 0.996
12 445 0 11 99.999 1 1 0.726
13 445 0 12 99.999 7 7 1.44
14 445 0 13 99.999 4 5 2.564
15 445 0 14 99.999 5 6 1.182
16 445 0 15 99.999 2 2 1.421
17 445 0 16 99.999 6 6 1.486
18 445 0 17 99.999 6 6 0.929
19 445 0 18 99.999 3 3 2.158
20 445 0 19 99.999 7 7 1.336
21 445 0 20 99.999 6 6 0.692
22 445 0 21 99.999 4 4 1.138
23 445 0 22 99.999 1 1 1.236
24 445 0 23 99.999 4 4 1.638
25 445 0 24 99.999 4 4 0.929
26 445 0 25 99.999 3 3 1.158
27 445 0 26 99.999 6 6 1.267
28 445 0 27 99.999 5 5 2.748
29 445 0 28 99.999 7 7 1.303
30 445 0 29 99.999 7 7 0.983
31 445 0 30 99.999 4 4 2.606
32 445 0 31 99.999 2 2 1.398
33 445 0 32 99.999 5 5 2.082
34 445 0 33 99.999 3 3 1.569
35 445 0 34 99.999 5 5 2.209
36 445 0 35 99.999 3 3 1.283
37 445 0 36 99.999 5 5 1.7
38 445 0 37 99.999 5 5 0.661
39 445 0 38 99.999 6 6 1.093
40 445 0 39 99.999 7 7 1.14
41 445 0 40 99.999 5 6 1.064
42 445 0 41 99.999 1 1 1.218
43 445 0 42 99.999 7 7 1.331
44 445 0 43 99.999 7 7 0.958
45 445 0 44 99.999 7 7 0.612
46 445 0 45 99.999 4 4 1.713
47 445 0 46 99.999 5 5 0.948
48 445 0 47 99.999 3 3 1.586
49 445 0 48 99.999 1 1 1.396
50 445 0 49 99.999 2 2 0.832
51 445 0 50 99.999 1 1 0.623
52 445 0 51 99.999 6 6 2.798
53 445 0 52 99.999 3 3 1.278
54 445 0 53 99.999 7 7 1.309
55 445 0 54 99.999 2 2 1.469
56 445 0 55 99.999 4 4 1.986
57 445 0 56 99.999 2 2 1.422
