datID sessionID block trial background target forePeriod resp rt
1 360 0 0 0 1 32 0 1.262
2 360 0 1 0 8 31 0 0.934
3 360 0 2 0 9 35 1 0.604
4 360 0 3 0 0 31 0 0.617
5 360 0 4 0 7 31 0 0.486
6 360 0 5 0 5 35 0 0.373
7 360 0 6 0 2 32 0 0.446
8 360 0 7 0 3 31 0 0.55
9 360 0 8 0 4 31 0 0.598
10 360 0 9 0 6 43 0 0.484
11 361 0 0 0 8 32 0 0.487
12 361 0 1 0 3 34 0 0.4
13 361 0 2 0 12 32 1 0.66
14 361 0 3 1 13 31 1 0.606
15 361 0 4 1 7 31 1 0.601
16 361 0 5 2 15 34 1 0.483
17 361 0 6 2 20 33 1 0.399
18 361 0 7 0 5 32 0 0.369
19 361 0 8 1 17 41 1 0.349
20 361 0 9 0 8 32 0 0.499
21 361 0 10 1 15 31 1 0.467
22 361 0 11 2 7 42 0 0.474
23 361 0 12 0 9 31 0 0.346
24 361 0 13 1 3 41 0 0.263
25 361 0 14 1 18 35 1 0.282
26 361 0 15 0 5 31 0 0.467
27 361 0 16 2 11 36 0 0.485
28 361 0 17 0 16 31 1 0.212
29 361 0 18 2 6 31 0 0.381
30 361 0 19 0 6 35 0 0.447
31 361 0 20 1 11 33 1 0.272
32 361 0 21 2 1 32 0 0.28
33 361 0 22 0 13 32 1 0.333
34 361 0 23 0 13 36 1 0.24
35 361 0 24 1 0 31 0 0.211
36 361 0 25 2 15 37 1 0.443
37 361 0 26 1 20 34 1 0.378
38 361 0 27 0 1 31 0 0.184
39 361 0 28 2 9 31 0 0.305
40 361 0 29 2 2 32 0 0.291
41 361 0 30 0 9 32 1 0.251
42 361 0 31 2 1 33 0 0.356
43 361 0 32 0 19 36 1 0.341
44 361 0 33 0 18 32 1 0.295
45 361 0 34 0 15 32 1 0.265
46 361 0 35 2 10 35 0 0.384
47 361 0 36 0 14 31 1 0.256
48 361 0 37 0 6 31 0 0.49
49 361 0 38 2 5 32 1 0.274
50 361 0 39 0 14 31 1 0.267
51 361 0 40 0 11 33 1 0.288
52 361 0 41 0 2 36 0 0.227
53 361 0 42 2 1 31 0 0.302
54 361 0 43 1 20 31 1 0.262
55 361 0 44 2 13 36 1 0.372
56 361 0 45 0 1 32 0 0.249
57 361 0 46 2 17 35 1 0.285
58 361 0 47 0 11 31 1 0.245
59 361 0 48 2 3 32 0 0.185
60 361 0 49 2 20 35 1 0.227
61 361 0 50 1 1 34 0 0.234
62 361 0 51 2 4 33 0 0.24
63 361 0 52 1 12 36 0 0.227
64 361 0 53 2 5 37 0 0.331
65 361 0 54 0 19 31 1 0.13
66 361 0 55 2 19 32 1 0.244
67 361 0 56 2 14 33 1 0.187
68 361 0 57 2 4 31 0 0.215
69 361 0 58 0 6 31 1 0.242
70 361 0 59 2 19 33 1 0.348
71 361 0 60 0 6 34 0 0.209
72 361 0 61 2 8 31 0 0.309
73 361 0 62 0 4 31 0 0.311
74 361 1 0 1 2 34 0 0.255
75 361 1 1 0 17 36 1 0.336
76 361 1 2 0 4 33 0 0.326
77 361 1 3 1 17 31 1 0.19
78 361 1 4 2 16 32 1 0.344
79 361 1 5 0 7 31 0 0.207
80 361 1 6 1 7 36 0 0.311
81 361 1 7 2 18 32 1 0.298
82 361 1 8 2 9 33 0 0.321
83 361 1 9 1 7 31 0 0.297
84 361 1 10 2 8 31 0 0.321
85 361 1 11 2 18 32 1 0.232
