datID sessionID block trial stimGlob stimLoc correctResp resp rt
1 422 0 0 76 1 2 6 3.244
2 422 0 1 76 1 2 2 2.195
3 422 0 2 29 0 1 1 2.374
4 422 0 3 79 2 3 3 2.09
5 422 0 4 87 4 5 5 1.32
6 422 0 5 29 0 1 1 3.651
7 422 0 6 74 3 4 7 1.804
8 422 0 7 76 1 2 6 4.143
9 422 0 8 94 7 8 8 1.379
10 422 0 9 87 4 5 5 1.221
11 422 0 10 53 5 6 7 1.337
12 422 0 11 53 5 6 6 1.008
13 422 0 12 74 3 4 6 6.023
14 422 0 13 53 5 6 7 1.107
15 422 0 14 99 6 7 3 2.683
16 422 0 15 94 7 8 8 1.643
17 422 0 16 99 6 7 7 1.536
18 422 0 17 79 2 3 2 1.726
19 422 0 18 29 0 1 1 1.239
20 422 0 19 76 1 2 5 4.691
21 422 0 20 74 3 4 3 4.234
22 422 0 21 76 1 2 4 2.178
23 422 0 22 94 7 8 8 3.667
24 422 0 23 79 2 3 2 2.299
25 422 0 24 94 7 8 8 1.191
26 422 0 25 79 2 3 3 4.019
27 422 0 26 76 1 2 1 3.486
28 422 0 27 99 6 7 7 6.335
29 422 0 28 99 6 7 7 0.712
30 422 0 29 74 3 4 4 4.489
31 422 0 30 29 0 1 1 2.396
32 422 0 31 94 7 8 8 1.511
33 422 0 32 29 0 1 1 1.354
34 422 0 33 29 0 1 1 0.61
35 422 0 34 53 5 6 7 1.268
36 422 0 35 74 3 4 5 5.756
37 422 0 36 29 0 1 1 1.653
38 422 0 37 74 3 4 5 2.602
39 422 0 38 74 3 4 4 0.641
40 422 0 39 99 6 7 7 2.469
41 422 0 40 29 0 1 1 2.778
42 422 0 41 76 1 2 2 1.855
43 422 0 42 74 3 4 5 1.585
44 422 0 43 79 2 3 2 1.861
45 422 0 44 76 1 2 2 3.342
46 422 0 45 74 3 4 4 4.941
47 422 0 46 94 7 8 8 1.508
48 422 0 47 74 3 4 4 0.859
49 422 0 48 87 4 5 5 2.873
50 422 0 49 99 6 7 7 1.348
51 422 0 50 29 0 1 1 1.521
52 422 0 51 79 2 3 2 2.214
53 422 0 52 87 4 5 5 1.1
54 422 0 53 29 0 1 1 1.439
55 422 0 54 53 5 6 6 1.696
56 422 0 55 87 4 5 5 1.739
57 422 0 56 53 5 6 6 1.211
58 422 0 57 94 7 8 8 1.373
59 422 0 58 94 7 8 8 0.887
60 422 0 59 94 7 8 8 0.691
61 422 0 60 76 1 2 3 4.381
62 422 0 61 53 5 6 6 3.43
63 422 0 62 79 2 3 3 4.917
64 422 0 63 94 7 8 8 1.322
65 422 0 64 94 7 8 8 1.343
66 422 0 65 99 6 7 7 1.233
67 422 0 66 29 0 1 1 1.275
68 422 0 67 74 3 4 4 3.143
69 422 0 68 29 0 1 1 2.003
70 422 0 69 74 3 4 4 0.699
71 422 0 70 94 7 8 8 1.325
72 422 0 71 87 4 5 5 1.149
73 422 0 72 29 0 1 1 1.343
74 422 0 73 87 4 5 5 1.107
75 422 0 74 74 3 4 4 1.108
76 422 0 75 94 7 8 8 1.311
77 422 0 76 94 7 8 8 0.937
78 422 0 77 76 1 2 2 2.938
79 422 0 78 87 4 5 5 1.072
80 422 0 79 87 4 5 5 0.894
81 422 1 0 99 6 7 7 1.558
82 422 1 1 29 0 1 1 1.553
83 422 1 2 87 4 5 5 1.29
84 422 1 3 74 3 4 4 1.159
85 422 1 4 74 3 4 4 0.548
86 422 1 5 29 0 1 1 1.055
87 422 1 6 87 4 5 5 0.999
88 422 1 7 87 4 5 5 0.653
89 422 1 8 79 2 3 2 2.113
90 422 1 9 87 4 5 5 1.082
91 422 1 10 99 6 7 7 1.038
92 422 1 11 99 6 7 7 1.574
93 422 1 12 79 2 3 3 3.953
94 422 1 13 79 2 3 3 0.586
95 422 1 14 76 1 2 2 1.146
96 422 1 15 76 1 2 2 1.334
97 422 1 16 76 1 2 2 0.616
98 422 1 17 87 4 5 5 1.173
99 422 1 18 53 5 6 6 2.88
100 422 1 19 74 3 4 4 1.505
101 422 1 20 29 0 1 1 1.386
102 422 1 21 76 1 2 2 1.185
103 422 1 22 79 2 3 3 3.622
104 422 1 23 76 1 2 2 1.613
105 422 1 24 94 7 8 8 1.561
106 422 1 25 76 1 2 2 1.306
107 422 1 26 79 2 3 3 1.001
108 422 1 27 74 3 4 4 0.942
109 422 1 28 87 4 5 5 0.976
110 422 1 29 99 6 7 7 1.346
111 422 1 30 29 0 1 1 1.343
112 422 1 31 53 5 6 6 1.18
113 422 1 32 76 1 2 3 2.246
114 422 1 33 29 0 1 1 1.058
115 422 1 34 87 4 5 5 1.047
116 422 1 35 79 2 3 2 2.614
117 422 1 36 94 7 8 8 1.887
118 422 1 37 74 3 4 4 1.304
119 422 1 38 99 6 7 7 1.01
120 422 1 39 29 0 1 1 1.529
121 422 1 40 79 2 3 3 2.305
122 422 1 41 94 7 8 8 3.811
123 422 1 42 53 5 6 6 1.286
124 422 1 43 79 2 3 3 1.702
125 422 1 44 53 5 6 6 2.591
126 422 1 45 74 3 4 4 1.359
127 422 1 46 99 6 7 7 1.116
128 422 1 47 99 6 7 7 0.697
129 422 1 48 76 1 2 2 1.94
130 422 1 49 99 6 7 7 1.04
131 422 1 50 87 4 5 5 1.282
132 422 1 51 53 5 6 6 1.037
133 422 1 52 94 7 8 8 2.232
134 422 1 53 87 4 5 5 1.284
135 422 1 54 74 3 4 4 1.301
136 422 1 55 87 4 5 5 1.091
137 422 1 56 79 2 3 3 3.479
138 422 1 57 87 4 5 5 1.101
139 422 1 58 79 2 3 3 1.12
140 422 1 59 76 1 2 2 0.898
141 422 1 60 29 0 1 1 1.524
142 422 1 61 94 7 8 8 1.179
143 422 1 62 74 3 4 4 1.051
144 422 1 63 94 7 8 8 1.229
145 422 1 64 76 1 2 2 1.26
146 422 1 65 94 7 8 8 1.227
147 422 1 66 99 6 7 7 1.174
148 422 1 67 76 1 2 2 1.397
149 422 1 68 94 7 8 8 1.625
150 422 1 69 53 5 6 6 1.153
151 422 1 70 74 3 4 4 1.205
152 422 1 71 99 6 7 7 1.101
153 422 1 72 94 7 8 8 2.557
154 422 1 73 99 6 7 7 0.975
155 422 1 74 76 1 2 2 1.103
156 422 1 75 87 4 5 5 1.061
157 422 1 76 29 0 1 1 1.327
158 422 1 77 99 6 7 7 1.125
159 422 1 78 53 5 6 6 1.007
160 422 1 79 79 2 3 3 2.297
161 422 2 0 99 6 7 7 1.026
162 422 2 1 94 7 8 8 1.161
163 422 2 2 76 1 2 2 1.427
164 422 2 3 74 3 4 4 1.442
165 422 2 4 87 4 5 5 1.185
166 422 2 5 79 2 3 3 1.964
167 422 2 6 29 0 1 1 1.605
168 422 2 7 87 4 5 5 0.971
169 422 2 8 79 2 3 3 1.462
170 422 2 9 29 0 1 1 2.023
171 422 2 10 29 0 1 1 0.624
172 422 2 11 53 5 6 6 1.043
173 422 2 12 79 2 3 3 2.19
174 422 2 13 76 1 2 2 0.732
175 422 2 14 99 6 7 7 1.172
176 422 2 15 74 3 4 4 1.372
177 422 2 16 79 2 3 3 4.77
178 422 2 17 53 5 6 6 1.234
179 422 2 18 53 5 6 6 0.847
180 422 2 19 94 7 8 8 1.382
181 422 2 20 79 2 3 3 1.825
182 422 2 21 53 5 6 6 1.327
183 422 2 22 99 6 7 7 0.905
184 422 2 23 76 1 2 2 3.106
185 422 2 24 79 2 3 3 0.566
186 422 2 25 76 1 2 2 0.721
187 422 2 26 99 6 7 7 1.138
188 422 2 27 94 7 8 8 1.279
189 422 2 28 29 0 1 1 1.255
190 422 2 29 53 5 6 6 1.065
191 422 2 30 74 3 4 4 1.242
192 422 2 31 76 1 2 2 1.322
193 422 2 32 53 5 6 6 1.074
194 422 2 33 94 7 8 8 1.248
195 422 2 34 79 2 3 3 1.666
196 422 2 35 79 2 3 3 0.682
197 422 2 36 53 5 6 6 1.015
198 422 2 37 99 6 7 7 0.881
199 422 2 38 87 4 5 5 1.048
200 422 2 39 53 5 6 6 1.042
201 422 2 40 74 3 4 5 1.104
202 422 2 41 87 4 5 5 1.042
203 422 2 42 94 7 8 8 1.222
204 422 2 43 87 4 5 5 0.947
205 422 2 44 87 4 5 5 0.555
206 422 2 45 29 0 1 1 1.711
207 422 2 46 53 5 6 6 1.086
208 422 2 47 74 3 4 4 1.211
209 422 2 48 29 0 1 1 0.967
210 422 2 49 79 2 3 3 2.174
211 422 2 50 76 1 2 2 0.88
212 422 2 51 76 1 2 2 0.762
213 422 2 52 87 4 5 5 1.007
214 422 2 53 99 6 7 7 1.28
215 422 2 54 53 5 6 6 1.005
216 422 2 55 76 1 2 2 1.255
217 422 2 56 99 6 7 7 1.083
218 422 2 57 87 4 5 5 1.061
219 422 2 58 74 3 4 4 0.915
220 422 2 59 53 5 6 6 0.919
221 422 2 60 29 0 1 1 2.022
222 422 2 61 99 6 7 7 1.211
223 422 2 62 53 5 6 6 1.007
224 422 2 63 79 2 3 3 1.421
225 422 2 64 53 5 6 6 0.993
226 422 2 65 99 6 7 7 1.023
227 422 2 66 79 2 3 3 1.585
228 422 2 67 74 3 4 4 1.33
229 422 2 68 79 2 3 3 1.939
230 422 2 69 74 3 4 4 1.062
231 422 2 70 99 6 7 7 1.134
232 422 2 71 53 5 6 6 0.895
233 422 2 72 94 7 8 8 1.404
234 422 2 73 29 0 1 1 1.2
235 422 2 74 53 5 6 6 0.921
236 422 2 75 99 6 7 7 1.861
237 422 2 76 29 0 1 1 1.573
238 422 2 77 94 7 8 8 1.031
239 422 2 78 87 4 5 5 1.089
240 422 2 79 53 5 6 6 0.982
