datID sessionID block trial stimGlobA stimGLobB weightA correctResp resp rt
1 432 0 0 23 41 1 6 3 2.285
2 432 0 1 23 41 0 3 2 1.844
3 432 0 2 23 41 0 2 1 1.425
4 432 0 3 23 41 0 2 2 0.786
5 432 0 4 23 41 0 2 2 0.754
6 432 0 5 23 41 0 2 3 1.808
7 432 0 6 23 41 0 3 3 2.701
8 432 0 7 23 41 1 5 4 1.632
9 432 0 8 23 41 1 5 4 1.999
10 432 0 9 23 41 0 1 1 1.244
11 432 0 10 23 41 0 2 3 1.423
12 432 0 11 23 41 0 1 1 1.055
13 432 0 12 23 41 0 4 6 1.592
14 432 0 13 23 41 0 4 4 1.279
15 432 0 14 23 41 0 1 1 1.391
16 432 0 15 23 41 0 2 2 1.64
17 432 0 16 23 41 0 4 4 1.542
18 432 0 17 23 41 1 5 5 1.063
19 432 0 18 23 41 1 5 5 0.707
20 432 0 19 23 41 1 5 5 0.975
21 432 0 20 23 41 1 6 6 2.361
22 432 0 21 23 41 0 3 3 3.002
23 432 0 22 23 41 0 2 2 0.907
24 432 0 23 23 41 1 6 7 3.496
25 432 0 24 23 41 0 3 2 1.711
26 432 0 25 23 41 0 1 1 0.85
27 432 0 26 23 41 0 1 1 0.642
28 432 0 27 23 41 1 8 8 1.349
29 432 0 28 23 41 1 7 7 1.111
30 432 0 29 23 41 1 5 3 4.156
31 432 0 30 23 41 0 3 3 5.402
32 432 0 31 23 41 0 2 2 1.051
33 432 0 32 23 41 1 6 6 1.692
34 432 0 33 23 41 1 6 6 0.899
35 432 0 34 23 41 1 5 6 0.727
36 432 0 35 23 41 0 1 1 1.316
37 432 0 36 23 41 1 5 5 3.058
38 432 0 37 23 41 0 2 2 1.523
39 432 0 38 23 41 1 8 8 1.366
40 432 0 39 23 41 0 4 4 7.741
41 432 0 40 23 41 1 8 8 1.38
42 432 0 41 23 41 0 2 2 1.634
43 432 0 42 23 41 0 1 1 0.894
44 432 0 43 23 41 1 8 8 1.131
45 432 0 44 23 41 0 3 2 1.471
46 432 0 45 23 41 0 2 2 1.018
47 432 0 46 23 41 1 8 8 1.219
48 432 0 47 23 41 1 5 6 1.547
49 432 0 48 23 41 0 2 2 1.492
50 432 0 49 23 41 1 5 3 2.387
51 432 0 50 23 41 1 8 8 1.581
52 432 0 51 23 41 1 8 8 0.553
53 432 0 52 23 41 0 3 4 5.864
54 432 0 53 23 41 1 6 7 1.239
55 432 0 54 23 41 0 4 5 1.431
56 432 0 55 23 41 0 2 2 1.875
57 432 0 56 23 41 1 5 6 3.777
58 432 0 57 23 41 0 2 2 1.348
59 432 0 58 23 41 1 5 5 1.404
60 432 0 59 23 41 0 1 1 1.57
61 432 0 60 23 41 1 8 8 1.25
62 432 0 61 23 41 1 8 8 0.634
63 432 0 62 23 41 0 4 5 2.604
64 432 0 63 23 41 1 8 8 1.437
65 432 0 64 23 41 1 6 5 1.628
66 432 0 65 23 41 1 7 7 1.256
67 432 0 66 23 41 0 3 3 2.789
68 432 0 67 23 41 0 2 3 0.569
69 432 0 68 23 41 0 4 4 2.156
70 432 0 69 23 41 0 1 1 1.408
71 432 0 70 23 41 1 7 7 3.592
72 432 0 71 23 41 0 4 4 1.951
73 432 0 72 23 41 1 7 7 2.558
74 432 0 73 23 41 1 7 7 0.603
75 432 0 74 23 41 1 8 7 1.329
76 432 0 75 23 41 1 7 7 1.167
77 432 0 76 23 41 0 1 1 3.234
78 432 0 77 23 41 1 7 7 1.376
79 432 0 78 23 41 1 5 4 2.128
80 432 0 79 23 41 1 7 8 1.184
81 432 1 0 23 41 1 7 6 4.932
